ASN,Organization
30999,Emtel
31028,Novoe Kabelnoe Television Ltd.
31083,Telepoint
31117,Energotel
31122,Viatel Ireland
31126,SODETEL S.A.L.
31143,COSMOS TV
31200,Novotelecom (NTK)
31203,Sharq Telekom
31213,PJSC MegaFon
31257,Orion Telecom
31261,GARS Telecom
31275,Telecom-Service
31277,New Line Telecom
31313,STS
31363,JSC 'ER-Telecom Holding'
31376,Smart Telecom
31404,LYCATEL DISTRIBUTION UK LIMITED
31409,SelTelecom-Net
31412,STOWARZYSZENIE MILOSNIKOW TELEWIZJI SATELITARNEJ ASTRAL
31430,TC TEL CENTER AS31430
31499,MOTIV
31512,OJSC 'Telecommunications FEZ Nakhodka'
31525,Satti Telecom LLC
31549,RASANA
31615,Odido AS31615
31631,Telcom Networks
31685,TOV Teleradiocompany 'TIM'
31705,Europaischen Organisation fuer die Nutzung Meteorologischen Satelliten (Eumetsat)
31721,Azercell Telecom
31726,Telefiber
31841,NEW KNOXVILLE TELEPHONE COMPANY
31996,Zoom Telcom LLC
32012,HD Telecom Inc.
32264,KMTELECOM
32277,TBayTel
32473,EHTEL
32758,TotelCSI
32845,Tel-Star Communications Inc
32890,Beehive Telephone Company
33038,XIT Rural Telephone Cooperative Inc.
33059,Momentum Telecom AS33059
33130,Internet Access Solutions Ltd.
33247,Coastal Telco Services
33339,Nemont
33362,Wikstrom Telephone Company
33567,Econet Telecom Lesotho (PTY) LTD
33604,Burlington Telecom
33647,Yadkin Valley Telephone
33749,ATMC
33765,TTCL Corporation
33779,Wataniya Telecom Algerie
33788,Canar Telecommunications Corporation Limited (Canartel)
33835,Infosat Telecom
33871,Norilsk-Telecom JSC
33915,Vodafone Libertel B.V.
33922,Nacionalinis Telekomunikaciju Tinklas
33934,PJSC Rostelecom
33977,Banat Telecom Satelit
33986,Redder Telco
34042,MT-Telecom LLC
34060,SC TELECOMUNICATII CFR SA
34066,Telappliant
34087,NTE Bredbånd AS
34137,PJSC Rostelecom
34150,JSC 'ER-Telecom Holding'
34156,DB Systel GmbH
34168,PJSC Rostelecom
34170,Aztelekom
34205,PJSC Rostelecom
34244,Teleservice Bredband Skåne AB
34263,MPY Telecom Oy
34265,SilverTelecom
34267,PJSC Rostelecom
34285,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones S.A.
34306,SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS
34359,Link Telecom Ukraine AS34359
34376,Telecom Group Ltd
34383,Teloise
34391,PARITEL OPERATEUR SAS
34393,Systel Systemy Teleinformatyczne Sp. z o.o.
34421,Telecom Media Systems JLLC
34467,JSC Telephone Company 'Sotcom'
34470,PortTelekom LLC
34502,Multikom Austria Telekom GmbH
34533,JSC 'ER-Telecom Holding'
34547,Telesmart Telekom
34557,Tacom
34584,PJSC Rostelecom
34590,JSC 'ER-Telecom Holding'
34594,Optima telekom
34619,CIZGI TELEKOMUNIKASYON ANONIM SIRKETI
34683,TELKEA-TELECOM
34703,LTD Pokrovsky radiotelefon
34704,VOIP Telecom SAS
34718,TEXNOPROSISTEM
34723,RNT
34743,NASHNET
34772,Neotel
34779,T-2 d.o.o.
34858,Telezon-Seti LLC
34892,PJSC Rostelecom
34896,Vostoktelecom Telephone Company Limited Liability Company
34937,Stowarzyszenie Olawska Telewizja Kablowa
34974,PJSC Rostelecom
34977,PROCONO
34984,Superonline
35000,JSC SEVEREN-TELECOM
35063,Chopin Telewizja Kablowa
35087,NTSI Telecom Ltd
35091,Teledata Ghana
35125,PJSC Rostelecom
35140,JSC RACE TELECOM
35154,PJSC Rostelecom
35177,PJSC Rostelecom
35184,IC Telecom
35199,ENFORMATEL
35200,iTalk Affliate Telecommunications Ltd
35239,LLC Balttelecom
35261,Core Telecom S.R.L.
35283,NETWORTH TELECOM
35311,PR-TELECOM Zrt.
35359,ADR TEL s.p.a.
35370,Ainet Telekommunikations-Netzwerk
35516,PJSC Rostelecom
35549,Metronet telekomunikacije d.d.
35566,Kar-Tel LLC
35567,DASTO semtel d.o.o.
35568,Nuetel Communications
35588,Telecompany LiS LTD
35632,Societe Francaise Du Radiotelephone - SFR SA
35699,Adamo Telecom Iberia S.A
35723,Transport Telecommunication Company LLC
35725,TELEKOM ROMANIA MOBILE COMMUNICATIONS S.A.
35753,Integrated Telecom (ITC) - Saudi Arabia
35765,Gemeindewerke Telfs GmbH
35768,Iris-tel ltd
35807,SkyNet SPB
35810,BIG TELECOM
35819,Etihad Etisalat Company (Mobily)
35911,Telebec
36103,CentraCom
36105,Big Bend Telephone Company Inc.
36149,Hawaiian Telcom
36165,ITM TELECOM
36305,The Albany Mutual Telephone Association
36374,Stellar Association
36468,Intelligent Technical Solutions
36487,Consolidated Telephone Company
36511,Dauphin Telecom Guadeloupe
36545,Bledsoe Telephone Cooperative Corporation
36549,WestTel Ltd.
36599,SoftEther Telecommunication Research Institute LLC
36827,PINE BELT TELEPHONE
36865,Teledata Mozambique
36866,Jamii Telecommunications
36873,Airtel Networks Nigeria
36881,Multitel Servicos de Telecomunicacoes
36884,Wana Corporate (AS36884)
36902,Intelvision
36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM
36913,TELEKOM NETWORKS MALAWI LTD
36925,Meditelecom
36926,Airtel Networks Kenya
36930,Zanzibar Telecom
36937,Liquid Telecom SA
36939,Comores Telecom
36947,Algeria Telecom
36955,Matrix Telecoms
36969,Malawi Telecommunications
36996,Telecom Namibia
36998,Zain
36999,Telecom Namibia
37006,Liquid Telecommunication Rwanda Limited
37009,Mobile Telecommunications Ltd
37020,Airtel DRC AS37020
37032,Alink Telecom Ghana
37054,TELMA
37069,The Egyptian Company for Mobile Services (Mobinil)
37075,Airtel Uganda
37076,EMTS NIGERIA
37090,ISOCEL SA
37102,CIELUX TELECOM RDC
37110,Moztel LDA
37119,Unitel SA
37123,Telecontract Pvt Ltd
37133,Airtel Tanzania
37154,ZAMTEL
37184,Powertel Communications
37190,ATLANTIQUE TELECOM (MOOV CI)
37196,Sudatel Senegal
37203,Liberia Telecommunications Corporation (libtelco)
37204,Telone Zimbabwe
37229,Atlantique Telecom Togo
37233,ORG-ON2-AFRINIC
37248,Phase3 Telecom
37292,Omnium des Telecom et de l'Internet (OTI Telecom)
37294,TELEKOM NETWORKS MALAWI
37303,Airtel Madagascar
37333,Comtel Communications
37342,Movitel
37343,Telecom Seychelles Limited
37356,OTEL Telecoms
37371,Hormuud Telecom Somalia
37385,SONITEL
37430,VDC Telecom
37440,Airtel Malawi
37451,Congo Telecom
37455,Bharat Telecom Ltd
37457,Telkom Internet
37472,Nigerian Communications Satellite
37473,Telesom
37475,HTT Telecom S.A
37517,CV Telecom
37526,TELECEL FASO
37529,Gestor de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial
37531,Airtel Niger
37550,airtelcg
37563,SOMTEL INTERNATIONAL
37566,ICONA for IT and Telecom
37575,UNITEL T Telecomunicacoes Sociedade Unipessoal S.A.
37586,ONATEL
37605,General Telecommunication Networks (NIG) Limited
37616,Airtel Gabon
37622,Mahanagar Telephone (Mauritius)
37677,Societe Congolaise des Postes et Telecommunications (SCPT)
37908,KIBI Cable Television
38009,Telikom PNG
38019,tianjin Mobile Communication Company Limited
38040,NT(TOT) IIG
38067,Radiant telecommunications
38186,Forewin Telecom Group Limited
38203,ADN Telecom Ltd.
38209,Camintel
38210,Ranks Telecom Limited
38235,MekongNet
38247,Vietnamobile Telecommunications Joint Stock Company
38253,Hanoi Telecom JSC
38264,Wateen Telecom
38278,ORIENT TELECOMS
38315,GAZI COMMUNICATIONS A TELEPORT OPERATOR
38466,U Mobile
38526,Pemerintah Kota Yogyakarta
38623,Viettel (Cambodia) Pte. Ltd.
38712,Telnet Communication Limited
38731,Vietel - CHT Compamy Ltd
38732,CMC Telecom Infrastructure Company
38733,CMC Telecom Infrastructure Company
38750,TELEMEDIA DINAMIKA SARANA [AS38750]
38875,FSMTC - AS38875
38917,INTERCOMTEL Limited Company
38949,Trestel SK
38951,PJSC Rostelecom
38958,Alfa Telecom Ltd.
38987,Spoldzielnia Telekomunikacyjna OST
38999,Mobile Interim Company no.2 sal
39010,TerraNet
39028,JSC 'ER-Telecom Holding'
39032,East Telecom
39045,Gazprom telecom LLC
39065,SOHONET
39097,Maintel Europe Limited
39102,SatTel Corporation Ltd
39153,Setel
39156,First Telecom Ltd
39180,LASOTEL
39190,Ahmad Mahmoud Hassan trading as Nour El Houda Trading & Telecommunications
39273,Kalaam Telecom Bahrain
39279,I.S. Centrul de Telecomunicatii Speciale
39280,UltelNET-AS
39375,Telekomunikacja Podlasie
39386,Saudi Telecom Company (STC IGW)
39407,PJSC Rostelecom
39435,JSC 'ER-Telecom Holding'
39505,Vestitel
39586,NPP Saturn Telecom Ltd.
39699,Lounea Palvelut
39735,'Permtelecom' Ltd
39737,Prime Telecom
39791,Telco Pro Services a. s.
39808,Fontel
39812,KAMENSKTEL
39824,JSC Alma Telecommunications
39835,goetel
39869,Sitel sp. z o.o.
39891,Saudi Telecom Company JSC
39908,Daughter Company Television Systems 'KVANT' of PrJSC 'Atomservice'
39927,E-Light-Telecom
39944,3U Telecom Inc
40020,Farmers Telecommunications Cooperative Inc.
40230,Columbus Telephone Company
40237,United Telephone Company
40285,NORTHLAND-CABLE
40564,Vocom International Telecommunication INC
40837,Goldfield Telephone Company LLC
40980,Telematica Internet Service Provider
41110,DSLmobil GmbH
41123,Gorodskie Telekommunikatsionnye Sistemy LLC
41134,PJSC Rostelecom
41164,GET Norway
41165,UNTC
41190,PJSC Rostelecom
41202,Unitel Uzbekistan
41272,MOSELLE TELECOM
41275,Lovitel LLC
41307,Telepark Passau GmbH
41313,Novatel
41327,Fiber Telecom (FT)
41329,Sky Mobile
41330,T2 Novosibirsk
41334,MANCHE TELECOM
41403,JSC 'ER-Telecom Holding'
41421,Starnet Telecom Sp. z o.o.
41513,PP SkyTeleNet
41557,Drustvo za telekomunikaciski uslugi TELEKABEL DOOEL Stip
41560,UGMK-Telecom LLC
41601,NEO Print Ltd
41625,Express Teleservice Corp
41661,JSC 'ER-Telecom Holding'
41668,JSC 'ER-Telecom Holding'
41682,JSC 'ER-Telecom Holding'
41691,National Telecom
41727,JSC 'ER-Telecom Holding'
41738,Cellfie Mobile LLC
41754,JSC 'ER-Telecom Holding'
41777,Telewizja Polsat Sp. z o.o.
41786,JSC 'ER-Telecom Holding'
41789,LLC Teledyne Systems Limited
41790,Teleaudio
41798,Transtelecom Kazakhstan
41802,Kvidex-Telecom
41813,LLC ONLINETELECOM
41843,JSC 'ER-Telecom Holding'
41844,'Urban Mobility Center' EAD
41877,Railway Telecom Ltd
41925,IZET-Chelyabinsk
41959,PLJ TELECOM
41967,Sumski Telecom Systems Ltd
42003,OGERONET
42020,LibanTelecom
42039,Stowarzyszenie 'Telewizja Teofilow B'
42057,GIPTEL LLC
42061,LINZ STROM GAS WAERME GmbH fuer Energiedienstleistungen und Telekommunikation
42065,ZAO ElectronTelecom
42083,Guneydogu Telekom
42116,JSC 'ER-Telecom Holding'
42148,Beirel Telecom LLC
42149,Servis Telecom Ltd.
42238,Bospor-Telecom LLC
42269,LLC ACME TELECOM
42277,Limited liability company Kursktelecom
42362,PJSC Rostelecom
42396,Telesystems of Ukraine
42397,Bunea TELECOM SRL
42437,T2 Rostov-on-Don
42517,Schiphol Telematics B.V.
42521,ARCTIC TELECOM Limited Liability Company
42530,TOV 'Telecommunication company 'Plazma'
42548,PJSC Rostelecom
42560,Telemach BH d.o.o. Sarajevo
42581,Inform Communications Ltd.
42610,Rostelecom MRB Moscow
42644,VIRTUAL TELECOM SP. Z O.O.
42682,JSC 'ER-Telecom Holding'
42683,JSC 'ER-Telecom Holding'
42739,Hawe Telekom
42770,Kar-Tel LLC
42786,SC Dynamic Telecom SRL
42808,VIRTELA-NET-VNLAMS1
42811,Herault Telecom SAS
42841,ANTIK Telecom
42845,Bretagne Telecom
42846,GNET Internet Telekomunikasyon A.S.
42897,Telnet LLC
42908,Nordic Telecom
42914,IMPERIUM-AS
42947,SkynetLink Informatica y Redes
42961,Zain KW
43034,Cimos d.d. Avtomobilska Industrija
43061,Stelkom d.o.o.
43103,ONE TELECOM ltd
43132,PJSC Rostelecom
43149,Rocket Telecom Center LLC
43197,TT mobile
43228,SimpleTelecom LLC
43244,TELNET Sp. z o.o.
43274,Teleradiocompany Teleos-1 Ltd
43297,VDS-Telecom
43314,JSC 'ER-Telecom Holding'
43321,Satelcom-Service Ltd.
43328,LLC 'INZHENERNYE SETI - TELEKOM'
43355,UPL TELECOM
43370,OBIT-KZ-AS
43372,TELNAP TELECOM
43376,DOTRO Telecom
43400,NEO-TELEKOM Ltd
43409,SKP 'Kyivteleservis'
43413,NEW TELEKOM spol. s r.o.
43452,TELENET KOM DOO
43478,JSC 'ER-Telecom Holding'
43529,Vidanet Cabletelevision Provider
43530,Limited Liability Company Irtelcom
43533,Gals Telecom
43550,JSC Avantel
43567,ug-tele.com
43574,PJSC Rostelecom
43576,KuMIR TELECOM
43605,Severo-Eniseysk-Telecom LLC
43655,SENER Mobility S.A.
43656,ПКП Телерадиокомпания Интертелеком
43670,New Telecommunication Company Ltd.
43727,KVANT-TELECOM
43747,TELEVALENTIN S.L
43811,Telia Lietuva AB
43833,Open Cable Telecomunicaciones S.L.
43843,BrianTel
43885,INSTAL MATEL
43886,UTEL Ltd
43940,Drustvo za telekomunikacije 'MTEL' DOO
43957,WNT Telecommunication
43991,Voronezh Telecom LLC
44021,Drustvo za telekomunikaciski uslugi TELEKABEL DOOEL Stip
44030,OtradnoeNet
44118,BalkanTel DOO
44123,Telavox
44143,Vip mobile d.o.o.
44237,Rostelecom MRB Center
44244,Iran Cell Service and Communication Company
44265,OOO Smoltelecom
44309,ET 'Satelit TM - Anton Simeonov'
44317,Mercury Telecom LLC
44405,Sistemy Telekommunikatsiy i Svyazi Ltd.
44416,Satellite Net Service
44417,JSC Neotelecom
44429,MXTel Ltd.
44442,The Borough of Telford and Wrekin Council
44443,LLC Inovatsiyni Telekomunikatsii
44507,Kostroma Municipal Telephone Network
44540,Kartel Ltd.
44546,ALFA TELECOM s.r.o.
44547,NETUNDWEB TELEKOMUNIKASYON
44565,VITAL TEKNOLOJI TELEKOMUNIKASYON BILGISAYAR HIZMETLERI VE SANAYI TICARET LTD SIRKETI
44604,JSC KVANT-TELEKOM
44619,OOO IT-Telecom
44622,Telecom Plus Mosinter
44664,M-TEL
44692,Domtel Telecom
44776,Reist Telecom AG
44811,JSC Avantel
44814,Bulgartel
44832,AlphaPhone Telekommunikations GmbH
44834,Pozitiv Telecom Ltd.
44837,ELS Telecom
44851,Retel JSC
44927,Telecom MPK
44941,ZAO Astrakhan Digital Television
44943,Ramtel
44963,Stavtelecom LLC
44988,KovrovTelecom Ltd.
45143,SINGTEL MOBILE INTERNET SERVICE PROVIDER Singapore
45313,Dinas Perhubungankomunikasi informasi dan Telematika -NAD
45325,PT PC24 Telekomunikasi Indonesia
45326,Broad Band Telecom Services Ltd (BBTS)
45355,Digicel Fiji
45356,Mobitel Sri Lanka
45543,Saigontourist Cable Television Company Limited
45557,VNTT
45588,Bangladesh Telecommunication Company Limited(BTCL)
45595,Pakistan Telecom Company Limited
45609,Bharti Airtel Ltd. AS for GPRS Service
45629,Jastel Network Co.LTD (Thailand)
45648,Bell Teleservices India Pvt Ltd
45669,Mobilink
45706,Tele Globe Global PT
45758,TripleT Broadband(AIS|3BB)
45820,Tata Teleservices
45884,RVR Digital Infrastructures
45891,Solomon Telekom Co Ltd
45899,VNPT
45916,Gujarat Telelink
45925,Teletalk Bangladesh
46026,BATAM BINTAN TELEKOMUNIKASI PT
46063,GTNET-AS-ID
46375,Sonic Telecom (Sonic.net Inc.)
46632,Southwest Arkansas Telephone Coop
46690,Southern New England Telephone Company and SNET America Inc.
46760,DRURYHOTELS
47116,Intellihome
47119,VL-Telecom Ltd
47141,Lit-Tel LLC
47159,Celldomolki Kabeltelevizio Kft.
47202,LAZER TELECOMUNICACOES S.A.
47206,Societe Francaise Du Radiotelephone - SFR SA
47216,Ettelaat Fanavarn-E Tookan Co Ltd
47217,Planetel
47237,NUR Telecom
47241,Joint Stock Company TransTeleCom
47253,BCI Telecommunication & Advanced Technology Company
47258,Premier Group Companies Telecom
47266,Telecompany Energy LLC
47288,FIXNET TELEKOM LTD. STI.
47297,Telekommunikation Lindau GmbH
47332,AIC TELECOMS
47394,Albanian Satellite Communications
47418,LLS Regional TeleSystems
47440,Business System Telecom
47441,TRUNK MOBILE
47530,Novokuznetsk Telecom Ltd
47531,OskolTelecom
47588,TEL COMMUNICATIONS L.L.C.
47655,LINKINTEL
47688,Fastic
47702,Discovery
47726,INFOBOX
47755,Tempus Telecom
47794,Etihad Atheeb Telecom
47806,TeleCondado S.L.
47826,BENTELER Business Services GmbH
47845,Tiger-Telecom
47883,KIBRIS MOBILE TELEKOMUNIKASYON LTD.
47887,Neu Telecom and Technologies (Damamax)
47898,PAN-Telecom
47909,Baikal-Telecom Ltd.
47914,IP-Home
47939,TDV 'Teleradio company 'Yalta' LLC
47954,Alpha Net Telecom Ltd
47959,Telinea d.o.o.
47996,Kommunikatsyi Stels Ltd.
48019,Terra-Telecom LLC
48043,Ozyorsk Telecom CJSC.
48044,Rostelecom Information Technologies LTd
48078,Dagomys Telecom
48081,TeleRadioCompany GOK LTD
48092,T2 Nizhny Novgorod
48120,Flash Telecom LLC
48129,IRBIS-TELECOMMUNICATIONS-AS
48147,Amin IDC
48149,Ivanteevskie telecommunicacii Ltd
48159,TIC AS48159
48166,Fortex-Telecom
48190,T2 Ekaterinburg
48225,JSC Telsi
48243,Miratel Ltd
48249,Capital Telecom
48260,TELEWEB bvba
48271,CJSC 'TELECOMMUNICATIONS COMPANY 'DUN'
48284,SWU TeleNet GmbH
48293,Uniontel
48302,OOO 'Telecom GKhK'
48364,Radim Pytela trading as AC Vyskov
48369,M-Telecom Ltd.
48408,Localitel
48424,GLOBITEL
48438,Corbina Telecom AS48438
48479,KUBAN-TELECOM Ltd.
48503,Tele2 Kazakhstan
48524,INTERRA telecommunications
48544,Tecnotel Servizi Tecnologici
48573,NFS Telecom
48574,T-Mobile Czech Republic a.s.
48642,K Telecom Ldt.
48675,Deltatelecom
48695,Etihad Atheeb Telecom /GO Telecom
48712,'Info-Net' Uslugi Teleinformatyczne S.C.
48720,VIP-TELECOM-SERVICE Ltd.
48738,Teleset ltd.
48780,OLTELECOM JSC
48944,khalij fars Ettela Resan Company J.S.
48951,Telekom Deutschland GmbH
48957,Telecommunications Resource Center
48969,Parus-Telecom Ltd.
48978,Orbitel LLC
49038,EUROLINE TELECOM
49048,JSC 'ER-Telecom Holding'
49088,TELMEKOM
49101,KABELOVA TELEVIZE CZ
49107,'Telko' CJSC
49112,Societe Francaise Du Radiotelephone - SFR SA
49113,Petignat Jean-Charles trading as Cablotel Telereseaux
49136,OJSC Telecommunication networks
49178,Nadunet Telecom
49183,Galichina Telekommunication
49301,Joint Stock Company TransTeleCom
49311,Regional TeleSystems Ltd.
49318,TELEFONICA TECH UK MANAGED SERVICES LTD
49320,Golitsyno Telecom
49327,TOV 'Telza'
49377,JSC'Yamaltelekom'
49389,Privately owned enterprise Alexsandrov Yuriy Viktorovich
49455,Telia Norge AS49455
49461,PP 'Podilsky Intelectualni sistemy'
49508,Samtelecom LLC
49529,Duplex tel LLC
49551,Teleseti Ltd
49561,VECHIR TELECOM
49601,UNITEL-MEDIA Sp. z o.o.
49605,IVO by D.t.s. S.r.l.
49628,SKYTEL
49632,Datatelekom Bilgisayar Internet Bilisim Yazilim ve Telekomunikasyon Hizmetleri San ve Dis Tic Ltd Sti
49666,TIC AS49666
49702,Svyaz Telecom OOO
49718,Nizhnevolzhskie Telecommunication Networks Real
49724,Vainah Telecom
49759,SerDi TeleCom LTD
49761,TELESIM
49814,TOMGATE-AS
49863,Lite-Telecom Limited
49889,Crystal Telecom Ltd
49893,Bitrace telecom Ltd.
49897,Alians Telecom Ltd.
49902,SRR
49954,Zextel
49963,Regional TeleSystem Ltd
49984,Telcom
50009,QUARTZ TELECOM
50022,Kristelecom
50025,Net Television
50083,Hermes Telecom
50115,Lekol
50126,OOO 'Teleservis'
50186,Pronet Telekom Ltd
50223,Alfa Telecom
50237,The College of Management Academic Studies Founded by the Union Officials in Tel Aviv Corporation for Public-Benefit Ltd.
50239,SOFTNET TELEKOM BIELINSKA sp.j.
50241,UnitTelecom
50251,NUR Telecom LLC
50257,A-Mobile
50261,ACE Telecom Kft
50266,Odido
50309,ARCADIZ TELECOM
50362,LLC CABLE TELEVISION COMPANY CABLE TELEVISION NETWORKS PLUS
50418,Fartel Ltd
50427,Orion Telecom Abakan
50436,PŸUR - CIN
50439,City Telephone Network Ltd.
50473,Altagen
50482,JSC Kazakhtelecom
50488,LLC Utelcom
50498,JSC 'ER-Telecom Holding'
50512,JSC 'ER-Telecom Holding'
50539,Telematica Ltd.
50542,JSC 'ER-Telecom Holding'
50543,JSC 'ER-Telecom Holding'
50544,JSC 'ER-Telecom Holding'
50550,K3 Telecom Sp. z o.o.
50577,INTELSC Ltd
50581,UTG
50604,SC MEDIA SUD
50616,ONE Telecommunications
50628,Leonix Telecom
50657,WestNet Telekommunikations- und Informationsdienstleistungs GesmbH
50661,Telkab sp. z o.o.
50666,ligaT Telecom
50670,VTEL JORDAN
50676,TelCom LLC
50705,Telgam
50716,Telecom.ru Ltd
50719,XINON
50815,TELPROM Informacijske tehnologije d.o.o.
50833,Fiber Telecom Czechia
50835,EANCENTER TELECOM LLC
50864,IT TeleNet
50870,Teleincom - Service Ltd
50911,LLC 'Electron-Telecom'
50946,Telecommunication Company 'Motel' Ltd.
51004,Sakhalin Cable Telesystems Ltd
51034,JSC 'ER-Telecom Holding'
51035,JSC 'ER-Telecom Holding'
51071,SibTeleCom Ltd.
51121,Foboss-Telecom LLC
51155,Citylink Telecom
51162,JSC Kazteleport - subsidiary of Halyk Bank of Kazakhstan
51178,Avantel Saint-Petersburg
51184,fonira Telekom
51188,Telia Cygate Oy
51192,TOO Platinum Telecom
51207,Free Mobile SAS
51234,Telecompany Fialka Ltd.
51300,Telecomunicazioni Digitali Fastalp Srl
51315,PE teleradiokompaniya Lebedin
51333,Arcolink Telecomunicazioni S.r.l.
51346,Tojiktelecom
51373,'TELKONEKT' SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA
51402,COM-IN Telekommunikation
51426,Teleport sp. z o.o.
51449,Kabelova televize Usti nad Orlici spol. s r. o.
51495,Telephone Network of Ashgabat CJSC
51504,AS Telset
51511,LLC 'Teleradio Company Traide-Express'
51521,Resident Control Telco s.r.o.
51547,LLC 'Telekonika'
51570,JSC 'ER-Telecom Holding'
51592,OOO Svift Telecom
51597,FASTTELECOM LTD
51604,JSC 'ER-Telecom Holding'
51612,Alfatel plus Ltd
51615,Zavod Kabelska televizija Nova gorica
51624,21 Century Telecom Ltd
51645,JSC 'ER-Telecom Holding'
51655,Ilim Telecom Ltd.
51757,Infratel
51801,INTERNET KUTUSU TELEKOMUNIKASYON BILISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI
51813,Joint Stock Company TransTeleCom
51819,ER-Telecom Holding
51825,Telzar
51880,Teletext-Plus Ltd.
51904,Utex-Telecom LLC
51935,BLC Telecom Oy
51959,Teleradiocompaniya Eliton LLC
51972,SIM-TELECOM
51978,Wemacom Telekommunikation
51995,Ternivske Telebachennya LTD
52008,NesterTelecom LLC
52078,MARTEL MARTA BIENIA
52175,Magellan Telecom Kuzbass Ltd.
52207,JSC 'ER-Telecom Holding'
52232,Telefonía Pública y Privada
52260,National Telecom S.A (NATCOM S.A)
52262,Telefónica Celular S.A
52263,Telecable Economico TVE S.A.
52322,TELCOCOM
52328,Cabletel SA
52339,Lima Video Cable
52356,R&H International Telecom Services
52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.
52412,BW TELECOM
52433,U Mobile (Cellular)
52436,Cable Televisora Color
52473,Cooperativa Telefónica de Abasto
52495,Cotel Ltda.
52524,Terabyte Servicos de Telecom B Larga
52532,Speednet Telecomunicações
52539,SBS-NET TELECOMUNICACOES
52541,New Speed Telecom
52544,Ivatel Redes e Internet
52547,Primatec MT
52548,tc conecta serviços de telecomunicações e provedor
52557,FLYNET TELECOM
52559,Novatec Telecom
52560,Atualtek Telecom
52561,GFOUR TELECOM
52562,INTELNET SERVICO DE MULTIMIDIA
52564,Biazi Telecom
52571,G2G Telecom
52573,UNE TELECOM LTDA
52579,Noroestecom
52587,IFIBRA TELECOM
52589,MULTLINK TELECOM
52596,TROPICALNET TELECOM
52599,A Rede Telecom
52600,Digitotal Networks
52601,FAXT Telecomunicações Ltda
52609,EVO Networks
52610,Adyl Telecom - AS52610
52611,EdiMelo Telecom
52617,DIGITAL.COM TELECOMUNICACOES LTDA
52624,WEB TELECOMUNICAÇÕES LTDA
52625,X-PC Telecom
52630,MT-TELECOM SUL
52651,DeltaAtiva Telecomunicacoes
52654,Bi-Link Telecom
52657,Norte Telecomunicações
52662,Telecall AS52662
52685,ConectNet Telecomunicações LTDA
52686,F.J.FANTINI AMPARO ME
52696,JSX TELECOM
52698,OPENTEL Comércio e Serviços Ltda
52699,ITANET CONECTA
52700,ITLINE TELECOM
52706,DANIELLI TELECOMUNICAÇÕES LTDA - 3D TELECOM
52711,FASTNET TELECOM
52712,Connetiva Internet
52720,Webfoco Telecom
52721,TOLEDO FIBRA TELECOMUNICAÇAO LTDA
52724,Adriano Telecomunicacoes Ltda Me
52727,IMNET Telecomunicacoes Ltda
52737,Floriani Serviços de Telecomunicação Ltda ME
52741,MC TELECOM
52747,Wsp Servios de Telecomunicaes
52751,BrasRede Telecom
52752,Hi7 Telecom
52758,Global Network Telecomunicações do Brasil
52765,MAXXNET TELECOM
52772,Sjnet Telecom
52778,SANER TELECOM INFORMATICA LTDA ME
52780,MAP TELECOMUNICACOES
52783,ALCANS TELECOM LTDA
52787,MAX TELECOM PROVEDOR DE ACESSO A INTERNET
52790,CONECTA NET TELECOMUNICAÇÕES LTDA ME
52793,Kelvyn Sat Comércio e telecomunicações Ltda
52795,One Telecom
52812,WRLINK TELECOM
52814,NETPLAY TELECOM
52817,NEWCENTER TELECOM
52820,Brasilfone Telecomunicao Ltda
52829,NEWLINE TELECOM
52838,WN TELECOM
52846,Innovanet Telecom LTDA
52854,DIGITALSMART TELECOMUNICACOES LTDA
52855,Omegasul
52862,Redenilf Serviços de Telecomunicações
52866,IVeloz Telecomunicações
52870,Disk Sistema Tele-Informatica
52872,VOANET Telecomunicações Ltda.
52873,Softdados Telecomunicações
52876,PW NETWORK INFORMATICA E TELECOMUNICACOES LTDA
52878,REDE DE TELECOMUNICAÇÕES CARAJAS
52879,ABM INFORMATICA E TELECOM
52890,Centro Integrado de Telemática do Exército
52892,Coprel Telecom LTDA
52894,Klisa Net Telecomunicações e Multimidia LTDA ME
52898,Multipla Serviços Inteligentes
52899,FLIX TELECOM
52900,HI TELECOM
52901,Minas Telecom
52903,Sglinknet Telecomunicacoes
52904,Multpontos Telecomunicações
52906,VOXX TELECOM LTDA - ME
52907,EMPRESA MINEIRA DE TELECOMUNICAÇOES
52917,SPACE NET SERV. DE TELECOMUNICAÇÃO EM INF. LTDA-ME
52923,Netcar Internet Telec Info e Tecnologia LTDA
52927,IBI TELECOM  AS52927
52931,Netvip Telecomunicações Ltda
52932,Tecnowireless Telecom
52937,FHP TELECOMUNICAÇÃO
52940,PATH TELECOM AS52940
52944,MEGALINK TELECOMUNICACOES
52962,Vipnet Baixada Telecomunicacoes e Informatica LTDA
52963,JATIMNET TELECOM
52964,FJR TELECOMUNICAÇÕES
52965,1 Telecom Servicos de Internet
52971,MICKS TELECOM
52973,YIP Telecom
